lang,black_id,white_id_1,white_id_2,white_id_3,white_id_4,white_id_5,white_id_6,white_id_7,white_id_8,white_id_9,white_id_10
EN,B064,W096,W123,W238,W500,W362,W158,W355,W051,W417,W064
EN,B065,W040,W077,W102,W136,W152,W200,W243,W350,W372,W397
EN,B066,W362,W158,W051,W417,W471,W254,W043,W190,W355,W127
EN,B067,W403,W362,W158,W051,W417,W471,W254,W043,W190,W355
EN,B068,W212,W362,W158,W051,W127,W417,W471,W254,W043,W190
EN,B069,W030,W371,W362,W158,W051,W417,W303,W471,W254,W043
EN,B070,W073,W196,W335,W362,W158,W051,W417,W471,W254,W043
EN,B071,W174,W348,W390,W362,W158,W051,W417,W471,W254,W043
EN,B072,W156,W352,W362,W158,W051,W417,W471,W254,W043,W190
EN,B073,W060,W221,W418,W443,W362,W158,W355,W051,W417,W471
EN,B074,W210,W434,W362,W158,W051,W417,W471,W254,W043,W190
EN,B075,W146,W257,W362,W158,W051,W417,W471,W254,W043,W190
EN,B076,W004,W093,W233,W362,W158,W051,W417,W471,W254,W043
EN,B077,W291,W311,W457,W362,W158,W051,W417,W471,W254,W043
EN,B078,W116,W142,W211,W343,W362,W158,W051,W417,W471,W254
EN,B079,W362,W158,W051,W417,W471,W254,W043,W190,W355,W127
EN,B080,W258,W374,W429,W362,W158,W051,W417,W471,W254,W043
EN,B081,W213,W422,W362,W158,W051,W417,W471,W254,W043,W190
EN,B082,W001,W019,W150,W362,W158,W051,W127,W417,W471,W254
EN,B083,W362,W158,W051,W417,W471,W254,W070,W043,W190,W450
EN,B084,W162,W186,W320,W364,W362,W158,W051,W417,W471,W254
EN,B085,W398,W475,W483,W362,W158,W051,W127,W417,W471,W087
EN,B086,W362,W158,W051,W417,W471,W254,W043,W190,W355,W127
EN,B087,W062,W164,W249,W362,W158,W051,W417,W471,W254,W043
EN,B088,W182,W487,W362,W158,W051,W417,W471,W254,W043,W190
EN,B089,W066,W448,W362,W158,W051,W417,W471,W254,W043,W190
EN,B090,W027,W078,W195,W266,W362,W158,W051,W417,W471,W254
EN,B091,W088,W089,W240,W278,W299,W338,W360,W423,W453,W462
EN,B092,W175,W362,W158,W051,W127,W417,W471,W254,W043,W190
EN,B093,W323,W362,W158,W051,W417,W471,W254,W043,W190,W355
EN,B094,W359,W362,W158,W051,W417,W471,W254,W043,W190,W450
EN,B095,W498,W058,W309,W154,W177,W206,W234,W272,W283,W289
EN,B096,W002,W029,W032,W125,W129,W155,W203,W208,W426,W450
EN,B097,W038,W181,W362,W158,W355,W051,W127,W417,W471,W254
EN,B098,W083,W171,W256,W310,W416,W362,W158,W051,W417,W471
EN,B099,W107,W118,W148,W294,W302,W365,W414,W440,W472,W493
EN,B100,W194,W284,W346,W362,W158,W051,W417,W471,W254,W043
