lang,black_id,white_id_1,white_id_2,white_id_3,white_id_4,white_id_5,white_id_6,white_id_7,white_id_8,white_id_9,white_id_10
EN,B044,W064,W229,W428,W269,W286,W051,W417,W313,W320,W471
EN,B045,W187,W389,W455,W002,W417,W051,W435,W497,W494,W471
EN,B046,W165,W485,W051,W417,W320,W015,W471,W451,W362,W158
EN,B047,W064,W051,W417,W471,W229,W362,W158,W190,W254,W043
EN,B048,W190,W087,W051,W417,W320,W284,W362,W158,W471,W083
EN,B049,W051,W417,W158,W362,W471,W190,W254,W043,W151,W299
EN,B050,W417,W051,W362,W471,W158,W190,W254,W043,W151,W438
EN,B051,W183,W120,W430,W102,W372,W146,W421,W087,W051,W417
EN,B052,W051,W417,W047,W471,W158,W362,W190,W026,W254,W043
EN,B053,W319,W417,W051,W471,W362,W158,W190,W254,W043,W355
EN,B054,W022,W428,W259,W417,W051,W389,W391,W158,W471,W362
EN,B055,W051,W417,W362,W471,W158,W190,W254,W112,W043,W355
EN,B056,W051,W417,W471,W362,W158,W190,W254,W043,W299,W094
EN,B057,W051,W417,W362,W158,W471,W190,W254,W473,W307,W043
EN,B058,W451,W165,W114,W485,W051,W417,W015,W105,W481,W471
EN,B059,W319,W296,W087,W051,W129,W320,W417,W284,W471,W362
EN,B060,W114,W051,W417,W465,W471,W158,W362,W394,W190,W473
EN,B061,W051,W010,W417,W320,W362,W158,W471,W451,W254,W190
EN,B062,W125,W369,W389,W169,W231,W144,W469,W051,W004,W417
EN,B063,W231,W389,W395,W144,W087,W090,W051,W002,W417,W365
EN,B064,W064,W355,W391,W112,W123,W417,W051,W313,W320,W096
EN,B065,W183,W120,W430,W102,W372,W146,W421,W406,W417,W051
EN,B066,W051,W320,W417,W471,W362,W158,W451,W190,W254,W043
EN,B067,W403,W051,W417,W047,W471,W158,W362,W190,W254,W043
EN,B068,W127,W417,W051,W471,W362,W158,W190,W254,W087,W043
EN,B069,W030,W303,W044,W064,W229,W041,W051,W417,W320,W471
EN,B070,W335,W047,W391,W087,W051,W417,W471,W158,W362,W190
EN,B071,W428,W174,W051,W417,W047,W044,W348,W471,W158,W362
EN,B072,W417,W051,W047,W376,W471,W158,W362,W190,W087,W043
EN,B073,W418,W335,W291,W443,W457,W296,W355,W169,W060,W348
EN,B074,W210,W417,W051,W471,W362,W158,W190,W254,W035,W043
EN,B075,W146,W051,W417,W149,W241,W044,W471,W158,W362,W439
EN,B076,W051,W417,W229,W158,W362,W471,W190,W254,W004,W043
EN,B077,W291,W457,W311,W229,W051,W417,W313,W015,W320,W481
EN,B078,W291,W116,W087,W051,W417,W481,W015,W362,W471,W158
EN,B079,W051,W417,W047,W471,W158,W362,W190,W254,W043,W313
EN,B080,W229,W303,W374,W364,W051,W417,W320,W149,W241,W158
EN,B081,W319,W125,W213,W129,W417,W051,W320,W284,W078,W158
EN,B082,W127,W087,W051,W417,W212,W471,W158,W362,W038,W190
EN,B083,W319,W428,W187,W389,W455,W344,W129,W051,W417,W313
EN,B084,W364,W320,W303,W231,W162,W407,W229,W374,W051,W417
EN,B085,W087,W127,W064,W398,W417,W051,W471,W158,W044,W362
EN,B086,W064,W051,W313,W417,W320,W471,W085,W158,W362,W190
EN,B087,W164,W183,W389,W120,W231,W430,W102,W207,W144,W372
EN,B088,W451,W051,W417,W320,W158,W362,W471,W254,W190,W335
EN,B089,W448,W051,W485,W417,W313,W320,W426,W471,W362,W158
EN,B090,W051,W320,W417,W471,W078,W362,W451,W158,W027,W190
EN,B091,W051,W417,W471,W158,W362,W190,W254,W473,W307,W043
EN,B092,W127,W417,W051,W471,W362,W158,W190,W254,W087,W043
EN,B093,W303,W064,W051,W417,W313,W320,W158,W362,W323,W471
EN,B094,W051,W417,W047,W471,W362,W158,W190,W450,W254,W320
EN,B095,W289,W177,W473,W064,W428,W387,W355,W127,W286,W051
EN,B096,W125,W450,W129,W002,W313,W426,W203,W222,W303,W155
EN,B097,W038,W355,W391,W336,W127,W181,W087,W051,W417,W212
EN,B098,W229,W207,W421,W051,W417,W149,W105,W416,W241,W362
EN,B099,W365,W457,W118,W302,W389,W148,W375,W472,W414,W207
EN,B100,W417,W051,W320,W284,W346,W471,W158,W362,W190,W043
